Skin traction for hip fracture and knees injuries is called,Buck's
"Traction that has straight line of pull, uses foot board plate to prevent foot drop is for",Buck's
"Traction for hip fracture and knee injuries where it's slightly bent, 2 lines of pull is called",Russel's
This is a traction for fracture of cervical spine,Crutchfield tong
Traction for keeping the head and neck still is called,Halo
Traction for femur fracture where it's 90 degree on hips and 90 degree on leg,Distal Femur Traction (Skeletal 90-90 Traction)
Traction for femur fracture where there's an overhead trapeze,Balance skeletal traction
What do you need to remember when using crutches,"Allow 3-4 finger width from axilla to axiliary bar, put pressure on the palm of the hand/elbow or hand bar, 15-30 degree elbow flexion, 8-12 inches to the side distance"
What is the complication when using crutches,Brachial palsy or crutch plexus
What is the nurses position when assisting a pt using cane,"Ambulation: bad side, transferring: good side"
What do you need to remember for pt using cane,"COAL- cane opposite affected leg, 30 degree flexion, 6-10 inches distance"
Where should the handle of the cane be level with,Greater tronchanter (hips)
What is the movement when using cane,CAFU- cane+ affected leg followed by unaffected leg
What do you need to remember when using walker,"30 degrees angle for elbow, lift and roll distance, 6-10 inches distance"
What is the movement for walker,"Walker affected leg, followed by unaffected leg"
What are the gaits used for arthritis and assistance with walking,2 and 4 point gait
What gait is use for broken leg sprain and strain fracture,3 point gait
What are the gaits use for bilateral paralysis of the hips and legs,Switch to and swing through gait
What are the risk factors for osteoporosis,"Female, aging, low calcium, low estrogen, long term use of steroid, sedentary lifestyle, smoking, alcohol"
What exercise is for osteoporosis,Weight bearing exercise.
What are the example of weight bearing exercise,"Brisk walking, jogging, dancing"
What are the drug therapy for osteoporosis,"Calcium: 1000mg/day, vitamin D: 400-600U/day"
What is the drug of choice for osteoporosis,Biphosphonates
What are the example of high calcium food,"Swiss cheese, green leafy vegetable, whole mill, skim milk, soy milk, tofu, yogurt, anchovies, sardines, salmon, almond paste"
Inflammation of a joints,Rheumatoid Arthritis
Risk factors of rheumatoid arthritis,"Gender-female, elderly, genetic"
What are the signs and symptoms of rheumatoid arthritis,"Hands and feet are affective, ulnar deviation, swan neck deformity"
Gold compound management for rheumatoid arthritis,Auranofin (Ridaura)
What do you need to note for Auranofin (riduara) ,"Pancytopenia= low rbc, plt ct and wbc"
What do you need to watch out for pancytopenia,"Infection, bleeding and anemia"
What are the management for pancytopenia,"Monitor CBC, chest X-ray every 6 months, tb testing prior to taking the meds."
What is the feature fo rheumatoid arthritis,Morning stiffness
"This is the degeneration of joint cartilage, increase sedimentation rate",Osteoarthritis
Risk factors for Osteoarthritis,"Gender, genetics, obesity and smoking"
What are the signs and symptoms of osteoarthritis,"Pain with activity, herberden's, bouchard's"
Distal joint,Heberden's
Proximal joint,Bouchard's
What is the feature of osteoarthritis,Pain relieved by rest
What are the signs and symptoms of hip fracture,"Shortening of the affected limb, external rotation, abduction"
What are the complications of amputation,"Bleeding, contracture, phantom pain, phantom sensation"
How to prevent contracture for the first 24-48 hrs,Elevate the foot of the bed/elevate both extremities
How to prevent contracture after 24-48 hrs,Position the pt prone position for 30 mins (3-4x day)
What are the stump care,"Cleanse with mild soap and water, no lotions, cream and oil, elastic bandage, residual sock- change daily"
What is the drug of choice for hypomagnesemia,Mag sulfate
What is the drug of choice for hypermagnesemia,Calcium gluconate
What do you need to remember for hypermagnesemia,"DROP- Deep tendon reflex, respiration, output (urine), pressure (blood)"
Drug of choice for hypocalcemia,Calcium gluconate
Things to remember for TPN,"Sterile technique, change tubing every 24 hrs, change dressing every 48-72 hrs"
What to watch out for TPN,"Pneumothorax, air embolism, hyperglycemia, infection, fluid overload"
What are the signs of fluid overload,"Hypertension, bounding pulse, crackles in lungs, wt gain, tachypnea"
Steps of gowning,"Gown, mask, goggles, gloves"
Steps for doffing,"Gloves, googles, gown, mask"
Bacterial prophylaxis for stoma,Neomycin-decrease GI bacteria
What is the post op color of the stoma,Beefy red or brick red
Color of the stoma 2 weeks after procedure,Pinkish
What do you need to remember for ileostomy,"Liquid or watery stool, continuous drainage"
What to watch out if you have ileostomy,Dehydration and skin breakdown
What do you need to remember for colostomy,"Formed stool, avoid gas forming foods such as broccoli, cauliflower, asparagus, eggs, beans, root crops, cabbage"
These food will help prevent odor of stool,"Yogurt, beets, parsley"
What do you need to remember for both ileostomy and colostomy,"Sign of start to function is flatus, change pouch every 5-7 days, morning before breakfast, empty bag if 1/3 full of stool or every 4-6 hrs"
What to remember when doing colostomy irrigation,"Fill container with 500-1000 ml of tap water, hang it 12-18 inches above the waist of pt or shoulder level, put clean gloves, lubricate the cone and insert it 2-4 inches deep, irrigate for 5-10 mins only, wait for stool evacuation for 30-45 mins."
What are the signs the pt is accepting the stoma,"Pt looks at his stoma, active participation, ask about the equipment"
What to remember for collection chamber,"Collecting fluid, air and blood (dark red), less than 100ml/hr, no bubbling"
What to remember for water seal chamber,"2 cm water sterile, intermittent bubbling/tidaling/fluctuation"
What to remember for suction control chamber,"Maintain 20cm of fluids, continuous gentle bubbling"
What to do when the tube gets dislodge,"Cover with sterile gauze with petroleum jelly, Vaseline gauze, tape 3 side for air vents"
What to do if the tube gets disconnected from the machine,Immerse the tube in sterile water
What to do when removing the tube,Valsalva maneuver (exhale forcefully)
This is to determine whether the latency of the radial and ulnar artery is normal,Allen's test
When is Allen's test done,Done before ABG analysis
What are the steps of Allen's test,"Occlude radial and ulnar arteries, open close the fist for 3x, release the ulnar artery, assess perfusion, obtain sample and send to the laboratory stat"
This is performed by manual manipulation and is under local or general anesthesia,Closed reduction
This is performed by surgical intervention,Open reduction
What is the management for extravasation,Stop the infusion/aspirate as much as possible
What is the management for phlebitis,Change IV site every 48-72 hrs
What is management for infiltration,"Stop the IV, remove then restart"
