What are the sliding scale for oral glucose tolerance test,"Fasting baseline: 70-110 mg/dl, 30 mins sample: 110-170mg/dl, 60 min sample: 120-170mg/dl, 90 min sample: 100-140 mg/dl, 120 min sample: 70-120 mg/dl"
What do you need to remember when getting capillary glucose monitoring,"No NPO, done before meals"
What do you need to remember when getting Glycosylated hemoglobin (Hba1c),"No NPO, Normal 3.5-6%, Good diabetic control: 7.7% or lower, Fair diabetic control: 7.6-8.9%, Poor diabetic control: 9% or higher"
What are common manifestation of hypoglycemia,"HeSTIRED: headache, sweating, tremors, irritability, restlessness, excessive hunger, dizziness/diaphoresis"
What is the management for conscious client having hypoglycemia,0-15 grams of fast acting simple carbohydrates
What us the management for unconscious client having hypoglycemia,"Glucagon (SC, IM, IV route)"
What are the examples of fast acting simple carbohydrates,"2-3 tsp of sugar or honey, 3-4 pcs of glucose tablets, 4-6 oz of reg soda/orange juice, 6-10 pcs of hard candy"
What are the assessment finding for pt having Diabetic Ketoacidosis,"Blurred vision, polyuria, dehydration, headache, weakness and thirst"
What are the sign of a pt having diabetic Ketoacidosis,Kaussmaul's breathing
What is the drug of choice if a pt is having metabolic acidosis due to diabetic ketoacidosis,Sodium bicarbonate
What is the drug of choice for diabetic ketoacidosis,Regular insulin drip
What are the management for pts having Diabetic ketoacidosis,"Fluid replacement, insulin drip, electrolyte replacement and sick day rule"
What is sick day rule,"Check blood glucose and urine ketones every 3-4 hrs, Continue taking insulin even if the pt is too ill to eat, Stay hydrated by drinking 8 oz of caffeine free fluids every hour, Contact MD if blood glucose is over 250mg/dl for 6 hours"
What are the macrovascular chronic complications of DM,"CAD, CVA and diabetic foot"
What are the microvascular chronic complications of DM,Nephropathy and retinopathy
What is the neuropathy chronic complications of DM,Peripheral neuropathy
What kind of diet is for DM patients,Balance diet
What is the peak time for rapid acting insulin (Novolog/humalog),1 hour
What is the peak time for regular acting and short acting insulin (humulin R and Novolin R),2-3 hours
What is the treatment for choice for DKA,Regular acting short acting insulin
How does regular acting short acting insulin looks like,Clear
"What is the peak time for intermediate insulin (humbling N, Novolin N, humulin L, Novolin L)",6-12 hours
How does the intermediate insulin looks like,Cloudy
What is the peak time for long acting insulin (Humulin U),12-16 hours
What is the peak acting for very long acting insulin (Lantus),No peak time/ 24 hr duration of action
What are the guidelines when giving Lantus to pts,"Do not mix in one vial with another insulin, Can be use along side other insulin, Give separately"
What do you need to watch out for when giving insulin injection,Lipodystrophy/lipoathropy and lipohypertrophy
What do you need to do to avoid Lipodystrophy/lipoathropy and lipohypertrophy,Provide 1 inch space in between injection
Where do you need to store unopened vial of insulin,Fridge
Where do you need to store opened insulin vial,Room temperature for 30 days only
What do you need to assess when taking Metformin,"Assess kidney function, check BUN and Cream"
What do you need to assess when taking Thiazolidinediones,"Assess liver functions, AST and ALT"
